PassengerId,Passenger_No,Passenger_group,HomePlanet,CryoSleep,Cabin,Cabin_Deck,Cabin_Side,Cabin_DS,Destination,Age,Age_Catg,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Total_Expenses,Name,Transported
0014_01,01,0014,Mars,False,F/3/P,F,P,FP,55 Cancri e,27.0,21-40,False,1286.0,122.0,0.0,0.0,0.0,1286.0,Flats Eccle,False
0015_01,01,0015,Earth,False,F/4/P,F,P,FP,55 Cancri e,24.0,21-40,False,0.0,1.0,0.0,0.0,637.0,637.0,Carry Hughriend,False
0016_01,01,0016,Mars,True,F/5/P,F,P,FP,TRAPPIST-1e,45.0,41-60,False,0.0,0.0,0.0,0.0,0.0,0.0,Alus Upead,True
0017_01,01,0017,Earth,False,G/0/P,G,P,GP,TRAPPIST-1e,0.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,Lyde Brighttt,True
0017_02,02,0017,Earth,False,F/6/P,F,P,FP,55 Cancri e,14.0,0-20,False,412.0,0.0,1.0,0.0,679.0,1091.0,Philda Brighttt,False
0020_01,01,0020,Earth,True,E/0/S,E,S,ES,TRAPPIST-1e,1.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,Almary Brantuarez,False
0020_02,02,0020,Earth,True,E/0/S,E,S,ES,55 Cancri e,49.0,41-60,False,0.0,0.0,0.0,0.0,0.0,0.0,Glendy Brantuarez,False
0020_03,03,0020,Earth,True,E/0/S,E,S,ES,55 Cancri e,29.0,21-40,False,0.0,0.0,0.0,0.0,0.0,0.0,Mollen Mcfaddennon,False
0020_04,04,0020,Earth,False,E/0/S,E,S,ES,TRAPPIST-1e,10.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,Breney Jacostanley,True
0020_05,05,0020,Earth,True,E/0/S,E,S,ES,PSO J318.5-22,1.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,Mael Brantuarez,False
0020_06,06,0020,Earth,False,E/0/S,E,S,ES,TRAPPIST-1e,7.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,Terta Mcfaddennon,False
0022_01,01,0022,Mars,False,D/0/P,D,P,DP,TRAPPIST-1e,21.0,21-40,False,980.0,2.0,69.0,0.0,0.0,980.0,,False
0024_01,01,0024,Europa,True,C/2/S,C,S,CS,TRAPPIST-1e,62.0,60+,False,0.0,0.0,0.0,0.0,0.0,0.0,Penton Fullided,True
0025_01,01,0025,Earth,False,F/6/S,F,S,FS,TRAPPIST-1e,15.0,0-20,False,0.0,225.0,0.0,998.0,0.0,998.0,Karard Brookenson,False
0026_01,01,0026,Europa,False,C/0/P,C,P,CP,55 Cancri e,34.0,21-40,False,22.0,6073.0,0.0,1438.0,328.0,1788.0,Anyoni Unconary,False
0028_01,01,0028,Mars,False,F/8/P,F,P,FP,TRAPPIST-1e,43.0,41-60,False,1125.0,0.0,136.0,48.0,0.0,1173.0,Ceros Mare,False
0030_01,01,0030,Earth,False,G/4/S,G,S,GS,TRAPPIST-1e,32.0,21-40,False,0.0,850.0,81.0,437.0,453.0,890.0,Ginia Morsentley,False
0031_01,01,0031,Mars,False,F/9/P,F,P,FP,TRAPPIST-1e,47.0,41-60,False,214.0,0.0,1411.0,0.0,1229.0,1443.0,Coobix Datie,True
0031_02,02,0031,Mars,False,F/9/P,F,P,FP,TRAPPIST-1e,2.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,Cinets Datie,True
0031_03,03,0031,Mars,False,F/9/P,F,P,FP,TRAPPIST-1e,20.0,0-20,False,0.0,0.0,1750.0,990.0,0.0,990.0,Dontch Datie,True
0034_01,01,0034,Europa,True,D/1/S,D,S,DS,55 Cancri e,28.0,21-40,False,0.0,0.0,0.0,0.0,0.0,0.0,Ziba Oingwhedly,True
0035_01,01,0035,Mars,False,D/1/P,D,P,DP,55 Cancri e,23.0,21-40,False,784.0,964.0,0.0,951.0,0.0,1735.0,Luse Butte,False
0036_01,01,0036,Earth,False,F/8/S,F,S,FS,55 Cancri e,15.0,0-20,False,0.0,492.0,48.0,20.0,401.0,421.0,Marina Leodger,False
0038_01,01,0038,Earth,False,F/10/S,F,S,FS,55 Cancri e,20.0,0-20,False,554.0,195.0,0.0,2606.0,0.0,3160.0,Loise Wheelez,False
0039_01,01,0039,Earth,True,G/1/P,G,P,GP,55 Cancri e,30.0,21-40,False,0.0,0.0,0.0,0.0,0.0,0.0,Jorgie Batthewitt,False
0041_01,01,0041,Earth,True,G/2/P,G,P,GP,TRAPPIST-1e,17.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,Margia Moodsey,True
0043_01,01,0043,Europa,False,B/3/P,B,P,BP,TRAPPIST-1e,45.0,41-60,False,0.0,164.0,45.0,2511.0,855.0,3366.0,Ankalik Cylistrand,False
0044_01,01,0044,Earth,True,G/3/P,G,P,GP,TRAPPIST-1e,55.0,41-60,False,0.0,0.0,0.0,0.0,0.0,0.0,Jodye Coopelandez,False
0044_02,02,0044,Earth,True,G/3/P,G,P,GP,55 Cancri e,4.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,Kayne Coopelandez,True
0044_03,03,0044,Earth,True,G/3/P,G,P,GP,PSO J318.5-22,21.0,21-40,False,0.0,0.0,0.0,0.0,0.0,0.0,Cassa Coopelandez,True
0045_01,01,0045,Mars,False,F/10/P,F,P,FP,TRAPPIST-1e,21.0,21-40,False,970.0,0.0,180.0,0.0,64.0,1034.0,Zelowl Chmad,False
0045_02,02,0045,Mars,True,F/10/P,F,P,FP,TRAPPIST-1e,19.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,Mass Chmad,True
0050_01,01,0050,Earth,False,E/1/S,E,S,ES,55 Cancri e,35.0,21-40,False,790.0,0.0,0.0,0.0,0.0,790.0,Sony Lancis,False
0051_01,01,0051,Earth,False,E/2/S,E,S,ES,TRAPPIST-1e,56.0,41-60,False,0.0,112.0,0.0,1379.0,127.0,1506.0,Vivia Johnshines,False
0052_01,01,0052,Earth,False,G/6/S,G,S,GS,TRAPPIST-1e,27.0,21-40,False,4.0,0.0,2.0,4683.0,0.0,4687.0,Elaney Hubbarton,False
0053_01,01,0053,Earth,False,F/11/S,F,S,FS,TRAPPIST-1e,25.0,21-40,False,0.0,0.0,1938.0,0.0,1.0,1.0,Elson Hickerson,True
0056_01,01,0056,Europa,False,A/1/S,A,S,AS,TRAPPIST-1e,2.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,Okulas Tractive,True
0056_02,02,0056,Europa,True,A/1/S,A,S,AS,TRAPPIST-1e,38.0,21-40,False,0.0,0.0,0.0,0.0,0.0,0.0,Instab Tractive,True
0056_03,03,0056,Europa,False,A/1/S,A,S,AS,TRAPPIST-1e,27.0,21-40,False,279.0,605.0,3374.0,286.0,3.0,568.0,Zinoces Tractive,True
0058_01,01,0058,Earth,True,G/7/S,G,S,GS,PSO J318.5-22,36.0,21-40,False,0.0,0.0,0.0,0.0,0.0,0.0,Warry Ayalazquez,False
0061_01,01,0061,Earth,False,F/12/S,F,S,FS,TRAPPIST-1e,22.0,21-40,False,45.0,1096.0,148.0,1377.0,1.0,1423.0,Shanya Salez,False
0062_01,01,0062,Earth,False,F/13/S,F,S,FS,TRAPPIST-1e,62.0,60+,False,0.0,592.0,0.0,17.0,25.0,42.0,Sterry Greeves,False
0064_01,01,0064,Mars,True,F/14/S,F,S,FS,TRAPPIST-1e,15.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,,True
0064_02,02,0064,Earth,True,E/3/S,E,S,ES,TRAPPIST-1e,33.0,21-40,False,0.0,0.0,0.0,0.0,0.0,0.0,Colatz Keen,True
0066_01,01,0066,Earth,False,G/6/P,G,P,GP,TRAPPIST-1e,62.0,60+,False,1.0,153.0,197.0,0.0,460.0,461.0,Diandy Pecketton,False
0067_01,01,0067,Earth,True,G/10/S,G,S,GS,PSO J318.5-22,0.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,Ninaha Leeves,True
0067_02,02,0067,Earth,False,G/10/S,G,S,GS,TRAPPIST-1e,18.0,0-20,False,1.0,258.0,446.0,0.0,0.0,1.0,Celine Leeves,True
0067_03,03,0067,Earth,False,F/15/S,F,S,FS,55 Cancri e,21.0,21-40,False,1946.0,37.0,0.0,0.0,24.0,1970.0,Velyne Leeves,False
0068_01,01,0068,Mars,False,E/4/S,E,S,ES,TRAPPIST-1e,27.0,21-40,False,793.0,0.0,2.0,253.0,0.0,1046.0,Cinst Binie,False
0069_01,01,0069,Earth,False,F/16/S,F,S,FS,TRAPPIST-1e,42.0,41-60,False,887.0,0.0,9.0,6.0,0.0,893.0,,True
0070_01,01,0070,Earth,False,F/13/P,F,P,FP,TRAPPIST-1e,19.0,0-20,False,190.0,0.0,5.0,1.0,726.0,917.0,Meremy Brighttt,False
0071_01,01,0071,Earth,False,F/14/P,F,P,FP,TRAPPIST-1e,17.0,0-20,False,16.0,2165.0,0.0,0.0,52.0,68.0,Nelly Dillines,False
0072_01,01,0072,Earth,False,F/17/S,F,S,FS,TRAPPIST-1e,14.0,0-20,False,0.0,1.0,0.0,0.0,1063.0,1063.0,Thell Brantuarez,False
0073_01,01,0073,Mars,False,D/3/P,D,P,DP,PSO J318.5-22,37.0,21-40,False,46.0,83.0,738.0,0.0,12.0,58.0,Gorn Make,False
0074_01,01,0074,Europa,False,C/3/S,C,S,CS,TRAPPIST-1e,42.0,41-60,False,1.0,8397.0,0.0,0.0,506.0,507.0,Aldibah Mostedry,True
0076_01,01,0076,Mars,False,F/18/S,F,S,FS,TRAPPIST-1e,27.0,21-40,False,147.0,0.0,1018.0,0.0,0.0,147.0,Conk Dal,True
0077_01,01,0077,Mars,False,F/15/P,F,P,FP,TRAPPIST-1e,28.0,21-40,False,14.0,0.0,1295.0,0.0,0.0,14.0,Pon Blité,True
0078_01,01,0078,Europa,False,C/4/S,C,S,CS,TRAPPIST-1e,38.0,21-40,False,0.0,5840.0,0.0,321.0,9654.0,9975.0,Spuri Pokerheed,False
0081_01,01,0081,Earth,True,G/13/S,G,S,GS,TRAPPIST-1e,13.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,Dellie Vinozarks,False
0082_01,01,0082,Mars,False,F/16/P,F,P,FP,TRAPPIST-1e,42.0,41-60,False,7406.0,0.0,0.0,0.0,0.0,7406.0,Totse Datte,False
0082_02,02,0082,Mars,True,F/16/P,F,P,FP,TRAPPIST-1e,2.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,Eaturs Datte,True
0082_03,03,0082,Mars,False,F/16/P,F,P,FP,TRAPPIST-1e,8.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,,True
0084_01,01,0084,Earth,False,G/14/S,G,S,GS,TRAPPIST-1e,24.0,21-40,False,688.0,0.0,0.0,0.0,17.0,705.0,Coren Coopezmaney,True
0085_01,01,0085,Europa,True,C/5/S,C,S,CS,TRAPPIST-1e,40.0,21-40,False,0.0,0.0,0.0,0.0,0.0,0.0,Furudah Ellcefulve,True
0086_01,01,0086,Earth,False,F/17/P,F,P,FP,TRAPPIST-1e,43.0,41-60,False,211.0,0.0,0.0,638.0,513.0,1362.0,Jodye Kinson,False
0088_01,01,0088,Mars,True,E/5/S,E,S,ES,PSO J318.5-22,45.0,41-60,False,0.0,0.0,0.0,0.0,0.0,0.0,Stmeal Sacre,True
0090_01,01,0090,Earth,True,G/15/S,G,S,GS,TRAPPIST-1e,35.0,21-40,False,0.0,0.0,0.0,0.0,0.0,0.0,Heremy Santry,True
0091_01,01,0091,Earth,True,G/16/S,G,S,GS,TRAPPIST-1e,26.0,21-40,False,0.0,0.0,0.0,0.0,0.0,0.0,Deanne Yorkland,True
0091_02,02,0091,Earth,False,F/20/S,F,S,FS,TRAPPIST-1e,27.0,21-40,False,1.0,697.0,31.0,188.0,0.0,189.0,Tinez Yorkland,False
0092_01,01,0092,Earth,False,G/9/P,G,P,GP,TRAPPIST-1e,19.0,0-20,False,0.0,0.0,670.0,1.0,34.0,35.0,Gracy Dunnisey,False
0092_02,02,0092,Earth,True,G/9/P,G,P,GP,TRAPPIST-1e,0.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,Stald Hewson,True
0092_03,03,0092,Earth,True,G/9/P,G,P,GP,TRAPPIST-1e,3.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,Tiney Hewson,True
0097_01,01,0097,Europa,False,A/2/S,A,S,AS,TRAPPIST-1e,54.0,41-60,False,0.0,1208.0,0.0,3.0,637.0,640.0,Alchium Fictful,False
0098_01,01,0098,Earth,False,G/11/P,G,P,GP,TRAPPIST-1e,26.0,21-40,False,0.0,856.0,5.0,32.0,0.0,32.0,Doria Carezquez,False
0098_02,02,0098,Earth,False,G/11/P,G,P,GP,TRAPPIST-1e,26.0,21-40,False,0.0,2811.0,957.0,0.0,87.0,87.0,Leence Carezquez,True
0099_01,01,0099,Earth,False,F/19/P,F,P,FP,PSO J318.5-22,23.0,21-40,False,311.0,427.0,526.0,37.0,0.0,348.0,Aliey Leetersoney,False
0099_02,02,0099,Earth,False,G/12/P,G,P,GP,TRAPPIST-1e,2.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,Thewis Connelson,True
0101_01,01,0101,Mars,True,G/160/P,G,P,GP,TRAPPIST-1e,31.0,21-40,False,0.0,0.0,0.0,0.0,0.0,0.0,Book Trad,True
0102_01,01,0102,Earth,False,F/23/S,F,S,FS,TRAPPIST-1e,18.0,0-20,False,0.0,0.0,0.0,830.0,91.0,921.0,Ritany Holson,False
0103_01,01,0103,Earth,False,F/24/S,F,S,FS,TRAPPIST-1e,24.0,21-40,False,0.0,0.0,0.0,0.0,17.0,17.0,Arlen Mclainez,True
0103_02,02,0103,Earth,True,G/18/S,G,S,GS,55 Cancri e,9.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,Shaele Mclainez,True
0103_03,03,0103,Earth,True,G/18/S,G,S,GS,TRAPPIST-1e,6.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,Fanne Mclainez,False
0105_01,01,0105,Earth,False,F/21/P,F,P,FP,TRAPPIST-1e,27.0,21-40,False,0.0,0.0,570.0,2.0,131.0,133.0,Carry Cleachrand,False
0107_01,01,0107,Mars,False,D/2/S,D,S,DS,TRAPPIST-1e,21.0,21-40,False,1743.0,5.0,17.0,0.0,0.0,1743.0,Coobix Hart,False
0108_01,01,0108,Earth,True,G/19/S,G,S,GS,TRAPPIST-1e,23.0,21-40,False,0.0,0.0,0.0,0.0,0.0,0.0,Natald Handertiz,False
0108_02,02,0108,Earth,False,G/19/S,G,S,GS,TRAPPIST-1e,31.0,21-40,False,562.0,0.0,326.0,0.0,0.0,562.0,,False
0108_03,03,0108,Earth,False,G/19/S,G,S,GS,TRAPPIST-1e,0.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,Oline Handertiz,True
0110_01,01,0110,Europa,False,G/160/P,G,P,GP,TRAPPIST-1e,32.0,21-40,False,0.0,410.0,6.0,3929.0,764.0,4693.0,Graviph Aloubtled,False
0110_02,02,0110,Europa,False,B/5/P,B,P,BP,TRAPPIST-1e,40.0,21-40,False,0.0,331.0,0.0,0.0,1687.0,1687.0,Aldeba Bootious,False
0110_03,03,0110,Europa,False,B/5/P,B,P,BP,TRAPPIST-1e,42.0,41-60,False,2209.0,11418.0,0.0,1868.0,445.0,4522.0,Alaratz Aloubtled,True
0110_04,04,0110,Europa,True,B/5/P,B,P,BP,TRAPPIST-1e,28.0,21-40,False,0.0,0.0,0.0,0.0,0.0,0.0,Izark Aloubtled,True
0111_01,01,0111,Europa,True,E/6/S,E,S,ES,TRAPPIST-1e,29.0,21-40,False,0.0,0.0,0.0,0.0,0.0,0.0,Aldera Supred,True
0112_01,01,0112,Europa,False,B/1/S,B,S,BS,55 Cancri e,48.0,41-60,True,0.0,2537.0,87.0,17.0,13.0,30.0,Moth Cowtale,True
0113_01,01,0113,Earth,False,F/23/P,F,P,FP,TRAPPIST-1e,64.0,60+,False,0.0,0.0,804.0,0.0,0.0,0.0,Idary Carvis,True
0114_01,01,0114,Earth,False,G/20/S,G,S,GS,TRAPPIST-1e,27.0,21-40,False,82.0,157.0,429.0,238.0,1.0,321.0,Maura Beckerson,False
0115_01,01,0115,Mars,False,F/24/P,F,P,FP,TRAPPIST-1e,26.0,21-40,False,0.0,0.0,0.0,0.0,0.0,0.0,Rohs Pead,True
0116_01,01,0116,Europa,False,D/4/P,D,P,DP,TRAPPIST-1e,33.0,21-40,False,1.0,2223.0,0.0,12.0,404.0,417.0,Alhenah Suptive,True
0119_01,01,0119,Earth,False,A/0/P,A,P,AP,TRAPPIST-1e,39.0,21-40,False,0.0,2344.0,0.0,65.0,6898.0,6963.0,Batan Coning,False
0119_02,02,0119,Europa,True,A/0/P,A,P,AP,TRAPPIST-1e,13.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,Kleeiak Coning,True
0120_01,01,0120,Mars,True,F/25/P,F,P,FP,TRAPPIST-1e,24.0,21-40,False,0.0,0.0,0.0,0.0,0.0,0.0,Bees Sacre,True
0122_01,01,0122,Earth,False,G/21/S,G,S,GS,TRAPPIST-1e,29.0,21-40,False,0.0,0.0,0.0,699.0,74.0,773.0,Shelle Hayder,False
0123_01,01,0123,Earth,False,F/27/P,F,P,FP,TRAPPIST-1e,18.0,0-20,False,55.0,597.0,49.0,0.0,1.0,56.0,Iree Fielson,False
0126_01,01,0126,Mars,True,F/27/S,F,S,FS,TRAPPIST-1e,67.0,60+,False,0.0,0.0,0.0,0.0,0.0,0.0,Milly Mish,True
0127_01,01,0127,Mars,False,E/7/S,E,S,ES,TRAPPIST-1e,35.0,21-40,False,701.0,0.0,296.0,0.0,25.0,726.0,Miloss Mesty,False
0128_01,01,0128,Mars,False,D/3/S,D,S,DS,TRAPPIST-1e,61.0,60+,True,2353.0,334.0,9.0,316.0,2.0,2671.0,Grohs Fles,False
0128_02,02,0128,Mars,False,E/8/S,E,S,ES,TRAPPIST-1e,45.0,41-60,False,2103.0,6.0,0.0,0.0,0.0,2103.0,Barave Fles,False
0129_01,01,0129,Earth,True,G/22/S,G,S,GS,PSO J318.5-22,22.0,21-40,False,0.0,0.0,0.0,0.0,0.0,0.0,Race Fowles,True
0133_01,01,0133,Mars,True,F/29/S,F,S,FS,TRAPPIST-1e,19.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,Flynx Blie,True
0133_02,02,0133,Mars,False,D/5/S,D,S,DS,TRAPPIST-1e,36.0,21-40,False,2738.0,0.0,0.0,0.0,0.0,2738.0,Egrasp Blie,False
0134_01,01,0134,Earth,False,G/17/P,G,P,GP,TRAPPIST-1e,19.0,0-20,False,0.0,14.0,730.0,0.0,0.0,0.0,Camina Harmontry,True
0136_01,01,0136,Earth,False,G/23/S,G,S,GS,PSO J318.5-22,47.0,41-60,False,97.0,418.0,126.0,25.0,55.0,177.0,,False
0138_01,01,0138,Earth,True,G/18/P,G,P,GP,TRAPPIST-1e,13.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,Fayene Gambs,True
0138_02,02,0138,Earth,False,E/5/P,E,P,EP,TRAPPIST-1e,34.0,21-40,False,0.0,22.0,0.0,564.0,207.0,771.0,Monah Gambs,False
0139_01,01,0139,Europa,True,C/6/S,C,S,CS,55 Cancri e,35.0,21-40,False,0.0,0.0,0.0,0.0,0.0,0.0,Charda Myling,True
0140_01,01,0140,Earth,True,G/19/P,G,P,GP,TRAPPIST-1e,24.0,21-40,False,0.0,0.0,0.0,0.0,0.0,0.0,Evaley Mejiaddox,True
0140_02,02,0140,Earth,False,F/29/P,F,P,FP,TRAPPIST-1e,26.0,21-40,False,440.0,0.0,0.0,0.0,462.0,902.0,Verney Whitakers,False
0141_01,01,0141,Mars,False,F/30/P,F,P,FP,TRAPPIST-1e,31.0,21-40,False,0.0,0.0,97.0,0.0,0.0,0.0,Pyrohs Harte,False
0144_01,01,0144,Earth,False,F/31/S,F,S,FS,TRAPPIST-1e,20.0,0-20,False,0.0,420.0,210.0,0.0,0.0,0.0,Guadae Dayers,True
0146_01,01,0146,Earth,False,G/25/S,G,S,GS,TRAPPIST-1e,56.0,41-60,False,0.0,0.0,0.0,0.0,0.0,0.0,Verly Wolferguson,False
0147_01,01,0147,Earth,True,G/26/S,G,S,GS,TRAPPIST-1e,50.0,41-60,False,0.0,0.0,0.0,0.0,0.0,0.0,Samie Hubbarrison,True
0148_01,01,0148,Mars,False,F/31/P,F,P,FP,TRAPPIST-1e,42.0,41-60,False,1072.0,0.0,10.0,0.0,76.0,1148.0,Corsh Pashe,False
0149_01,01,0149,Earth,True,G/27/S,G,S,GS,55 Cancri e,27.0,21-40,False,0.0,0.0,0.0,0.0,0.0,0.0,Billya Hubbarrison,True
0151_01,01,0151,Earth,True,G/20/P,G,P,GP,55 Cancri e,38.0,21-40,False,0.0,0.0,0.0,0.0,0.0,0.0,Shanie Simson,False
0152_01,01,0152,Earth,False,F/32/P,F,P,FP,TRAPPIST-1e,41.0,41-60,False,0.0,0.0,0.0,0.0,607.0,607.0,Andan Estron,False
0160_01,01,0160,Earth,False,G/22/P,G,P,GP,TRAPPIST-1e,22.0,21-40,False,4119.0,0.0,0.0,0.0,61.0,4180.0,Gory Atkinney,False
0163_01,01,0163,Europa,True,B/8/P,B,P,BP,TRAPPIST-1e,26.0,21-40,False,0.0,0.0,0.0,0.0,0.0,0.0,Kabiton Hetforhaft,True
0163_02,02,0163,Europa,True,B/8/P,B,P,BP,TRAPPIST-1e,17.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,Scharab Hetforhaft,True
0164_01,01,0164,Earth,False,G/28/S,G,S,GS,TRAPPIST-1e,57.0,41-60,False,50.0,1688.0,0.0,0.0,135.0,185.0,Fany Hutchinton,True
0164_02,02,0164,Earth,True,G/28/S,G,S,GS,PSO J318.5-22,17.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,Ianya Hutchinton,False
0165_01,01,0165,Mars,True,F/37/P,F,P,FP,TRAPPIST-1e,35.0,21-40,False,0.0,0.0,0.0,0.0,0.0,0.0,Graven Anche,True
0167_01,01,0167,Mars,True,F/35/S,F,S,FS,TRAPPIST-1e,13.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,Miten Floaf,True
0167_02,02,0167,Mars,False,F/35/S,F,S,FS,TRAPPIST-1e,27.0,21-40,False,1365.0,0.0,48.0,22.0,137.0,1524.0,Rios Floaf,False
0169_01,01,0169,Earth,True,G/23/P,G,P,GP,TRAPPIST-1e,31.0,21-40,False,0.0,0.0,0.0,0.0,0.0,0.0,Wandy Fisherry,False
0170_01,01,0170,Earth,False,E/10/S,E,S,ES,TRAPPIST-1e,24.0,21-40,False,0.0,0.0,0.0,221.0,567.0,788.0,Mollie Mcmahoney,False
0171_01,01,0171,Earth,True,G/30/S,G,S,GS,PSO J318.5-22,19.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,Coracy Gordanieves,True
0172_01,01,0172,Earth,True,G/24/P,G,P,GP,TRAPPIST-1e,32.0,21-40,False,0.0,0.0,0.0,0.0,0.0,0.0,Hanna Johnshines,True
0173_01,01,0173,Earth,False,E/11/S,E,S,ES,TRAPPIST-1e,58.0,41-60,False,0.0,985.0,0.0,5.0,0.0,5.0,Hilip Grifford,True
0174_01,01,0174,Earth,False,F/38/P,F,P,FP,55 Cancri e,21.0,21-40,False,287.0,0.0,16.0,115.0,175.0,577.0,Doryn Lambles,False
0177_01,01,0177,Europa,False,B/2/S,B,S,BS,TRAPPIST-1e,38.0,21-40,False,0.0,10346.0,1.0,14970.0,2111.0,17081.0,Toperon Iniouser,False
0178_01,01,0178,Mars,False,D/6/S,D,S,DS,TRAPPIST-1e,38.0,21-40,False,3414.0,0.0,161.0,28.0,119.0,3561.0,Wees Knik,False
0179_01,01,0179,Earth,False,G/26/P,G,P,GP,TRAPPIST-1e,19.0,0-20,False,1.0,219.0,673.0,2.0,11.0,14.0,Elaney Webstephrey,True
0179_02,02,0179,Earth,False,G/26/P,G,P,GP,TRAPPIST-1e,0.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,Raque Webstephrey,False
0179_03,03,0179,Earth,False,G/26/P,G,P,GP,TRAPPIST-1e,3.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,Sallyl Webstephrey,True
0181_01,01,0181,Earth,False,G/27/P,G,P,GP,TRAPPIST-1e,20.0,0-20,False,0.0,0.0,3.0,299.0,92.0,391.0,Nancis Brighttt,False
0182_01,01,0182,Europa,True,C/3/P,C,P,CP,TRAPPIST-1e,24.0,21-40,False,0.0,0.0,0.0,0.0,0.0,0.0,Ksorab Disight,True
